Member of Parliament,Photo,County,Constituency,Party,Status
"Hon. Kosgei, Hilary Kiplang’at",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/cd28e7de42daec61e1a7b5cd2b05356d_M.jpg,Kericho,Kipkelion West,JP,Elected
"Hon. Kosgey, Alexander Kimutai Kigen",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/984f36722996e0131597718783789a28_M.jpg,Nandi,Emgwen,JP,Elected
"Hon. Kositany, Caleb Kipkemei",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/127e8ddb840f2663dc84cecc020b26ec_M.jpg,Uasin Gishu,Soy,JP,Elected
"Hon. Koske, Gideon Kimutai",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2019-02/PHOTO-2019-02-19-20-39-54.jpg,Bomet,Chepalungu,CCM,Elected
"Hon. Koskei, Dominic Kipkoech",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a7a067594506e5669665df7513e36111_M.jpg,Bomet,Sotik,JP,Elected
"Hon. Koskey, Florence Chepngetich",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/72c467482339fb1363b4c01596c51a1f_M.jpg,Kericho,Kericho,JP,Elected
"Hon. Koyi, John Waluke",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/54156bdcd7316e7eeaa9c4bdf4e0b58e_M.jpg,Bungoma,Sirisia,JP,Elected
"Hon. Kuria, Moses Kiarie",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/671e1b97d5db31a8bc1d973f463cac5a_M.jpg,Kiambu,Gatundu South,JP,Elected
"Hon. Lekumontare, Lentoi Joni L. Jackson",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/a262496e7bd5ef16097803badbbe7ffc_M.jpg,Samburu,Samburu East,KANU,Elected
"Hon. Lentoimaga, Alois Musa",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/13e5f342406151e0de1a1cca53fbdba9_M.jpg,Samburu,Samburu North,JP,Elected
"Hon. Leonard, Yegon Brighton",http://www.parliament.go.ke/sites/default/files/styles/mp_photo/public/2017-10/0b3079625ed50d96c18af4d0014dae15_M.jpg,Bomet,Konoin,JP,Elected
